window_start,window_end,connection_count,event_count,unique_source_ips,unique_source_ports,unique_destination_ips,unique_destination_ports,accept_count,close_count,error_count,connection_rate,label
2026-09-19T11:59:37.566938+00:00,2026-09-19T11:59:47.566938+00:00,5,10,1,1,1,5,5,5,0,0.5,normal
2026-09-19T11:59:47.566938+00:00,2026-09-19T11:59:57.566938+00:00,5,10,1,1,1,5,5,5,0,0.5,normal
2026-09-19T11:59:57.566938+00:00,2026-09-19T12:00:07.566938+00:00,4,8,1,1,1,4,4,4,0,0.4,normal
2026-09-19T12:00:07.566938+00:00,2026-09-19T12:00:17.566938+00:00,5,10,1,1,1,5,5,5,0,0.5,normal
2026-09-19T12:00:17.566938+00:00,2026-09-19T12:00:27.566938+00:00,4,8,1,1,1,4,4,4,0,0.4,normal
2026-09-19T12:00:27.566938+00:00,2026-09-19T12:00:37.566938+00:00,5,10,1,1,1,5,5,5,0,0.5,normal
2026-09-19T12:00:37.566938+00:00,2026-09-19T12:00:47.566938+00:00,5,10,1,1,1,5,5,5,0,0.5,normal
2026-09-19T12:00:47.566938+00:00,2026-09-19T12:00:57.566938+00:00,4,8,1,1,1,4,4,4,0,0.4,normal
2026-09-19T12:00:57.566938+00:00,2026-09-19T12:01:07.566938+00:00,5,10,1,1,1,5,5,5,0,0.5,normal
2026-09-19T12:01:07.566938+00:00,2026-09-19T12:01:17.566938+00:00,4,8,1,1,1,4,4,4,0,0.4,normal
2026-09-19T12:01:17.566938+00:00,2026-09-19T12:01:27.566938+00:00,5,10,1,1,1,5,5,5,0,0.5,normal
2026-09-19T12:01:27.566938+00:00,2026-09-19T12:01:37.566938+00:00,5,10,1,1,1,5,5,5,0,0.5,normal
2026-09-19T12:01:37.566938+00:00,2026-09-19T12:01:47.566938+00:00,4,8,1,1,1,4,4,4,0,0.4,normal
